CVE_ENT,CVE_MUN,Pob_PInf_F,Pob_PInf_M,Pob_PInf_T,Pob_Inf_F,Pob_Inf_M,Pob_Inf_T,Pob_Pub_F,Pob_Pub_M,Pob_Pub_T,Pob_Ado_F,Pob_Ado_M,Pob_Ado_T,Pob_Juv_F,Pob_Juv_M,Pob_Juv_T,Pob_Adu_F,Pob_Adu_M,Pob_Adu_T,Pob_Vej_F,Pob_Vej_M,Pob_Vej_T
21,151,402.062,417.705,819.767,410.705,425.05,835.755,415.627,428.732,844.359,415.013,424.435,839.448,401.86,402.6,804.46,2120.184,1862.642,3982.826,541.518,428.592,970.11
21,153,1039.039,1088.146,2127.185,1061.375,1107.281,2168.656,1074.094,1116.872,2190.966,1072.508,1105.679,2178.187,1038.516,1048.798,2087.314,5479.14,4852.292,10331.432,1399.434,1116.505,2515.939
21,154,3727.924,3872.755,7600.679,3808.065,3940.858,7748.923,3853.696,3974.993,7828.689,3848.008,3935.154,7783.162,3726.049,3732.712,7458.761,19658.383,17269.501,36927.884,5020.97,3973.688,8994.658
21,163,827.36,863.101,1690.461,845.147,878.279,1723.426,855.274,885.886,1741.16,854.012,877.008,1731.02,826.945,831.891,1658.836,4362.903,3848.765,8211.668,1114.335,885.596,1999.931
21,164,3886.409,4018.916,7905.325,3969.957,4089.589,8059.546,4017.528,4125.012,8142.54,4011.598,4083.67,8095.268,3884.454,3873.588,7758.042,20494.118,17921.266,38415.384,5234.426,4123.659,9358.085
21,169,959.22,1097.723,2056.943,979.841,1117.026,2096.867,991.582,1126.701,2118.283,990.119,1115.409,2105.528,958.738,1058.028,2016.766,5058.235,4894.995,9953.23,1291.929,1126.332,2418.261
21,171,175.379,182.817,358.196,179.149,186.032,365.181,181.295,187.643,368.938,181.028,185.762,366.79,175.29,176.206,351.496,924.818,815.222,1740.04,236.209,187.581,423.79
21,175,479.45,491.544,970.994,489.756,500.188,989.944,495.625,504.52,1000.145,494.893,499.464,994.357,479.208,473.769,952.977,2528.269,2191.906,4720.175,645.748,504.354,1150.102
21,180,1815.761,1954.566,3770.327,1854.795,1988.937,3843.732,1877.02,2006.165,3883.185,1874.25,1986.058,3860.308,1814.848,1883.886,3698.734,9575.013,8715.856,18290.869,2445.565,2005.506,4451.071
21,181,307.24,339.905,647.145,313.844,345.882,659.726,317.605,348.878,666.483,317.136,345.382,662.518,307.085,327.614,634.699,1620.157,1515.714,3135.871,413.806,348.764,762.57
21,182,240.12,253.54,493.66,245.281,257.999,503.28,248.22,260.233,508.453,247.854,257.625,505.479,239.998,244.372,484.37,1266.215,1130.594,2396.809,323.406,260.148,583.554
21,188,908.723,905.699,1814.422,928.259,921.626,1849.885,939.382,929.609,1868.991,937.995,920.292,1858.287,908.266,872.948,1781.214,4791.951,4038.72,8830.671,1223.918,929.303,2153.221
21,189,1003.018,1044.818,2047.836,1024.58,1063.191,2087.771,1036.857,1072.4,2109.257,1035.327,1061.652,2096.979,1002.513,1007.036,2009.549,5289.192,4659.081,9948.273,1350.919,1072.048,2422.967
21,193,305.506,329.773,635.279,312.073,335.572,647.645,315.813,338.479,654.292,315.346,335.086,650.432,305.352,317.848,623.2,1611.016,1470.534,3081.55,411.471,338.368,749.839
21,203,305.653,318.579,624.232,312.224,324.182,636.406,315.965,326.99,642.955,315.499,323.712,639.211,305.5,307.059,612.559,1611.795,1420.619,3032.414,411.671,326.882,738.553
21,205,1164.096,1241.128,2405.224,1189.121,1262.954,2452.075,1203.37,1273.893,2477.263,1201.594,1261.126,2462.72,1163.511,1196.248,2359.759,6138.603,5534.476,11673.079,1567.868,1273.475,2841.343
21,206,215.869,212.56,428.429,220.51,216.298,436.808,223.152,218.172,441.324,222.823,215.985,438.808,215.76,204.874,420.634,1138.337,947.854,2086.191,290.744,218.1,508.844
29,1,534.157,559.173,1093.33,538.529,567.612,1106.141,548.988,576.178,1125.166,551.156,572.417,1123.573,538.357,549.099,1087.456,2985.966,2691.207,5677.173,691.933,594.609,1286.542
29,2,676.806,694.733,1371.539,682.344,705.218,1387.562,695.597,715.861,1411.458,698.344,711.189,1409.533,682.127,682.217,1364.344,3783.376,3343.639,7127.015,876.715,738.761,1615.476
29,3,301.761,314.43,616.191,304.231,319.175,623.406,310.139,323.992,634.131,311.364,321.877,633.241,304.134,308.765,612.899,1686.859,1513.299,3200.158,390.893,334.356,725.249
29,4,784.698,849.633,1634.331,791.12,862.456,1653.576,806.485,875.472,1681.957,809.67,869.758,1679.428,790.868,834.326,1625.194,4386.5,4089.147,8475.647,1016.476,903.477,1919.953
29,5,3836.645,3862.115,7698.76,3868.045,3920.401,7788.446,3943.17,3979.566,7922.736,3958.74,3953.591,7912.331,3866.812,3792.534,7659.346,21447.042,18587.726,40034.768,4969.883,4106.869,9076.752
29,6,2264.21,2376.152,4640.362,2282.741,2412.012,4694.753,2327.076,2448.413,4775.489,2336.265,2432.432,4768.697,2282.013,2333.342,4615.355,12657.05,11436.03,24093.08,2932.995,2526.736,5459.731
29,7,770.213,821.532,1591.745,776.516,833.93,1610.446,791.597,846.515,1638.112,794.723,840.99,1635.713,776.268,806.73,1582.998,4305.527,3953.896,8259.423,997.711,873.595,1871.306
29,8,663.704,722.538,1386.242,669.137,733.442,1402.579,682.132,744.511,1426.643,684.826,739.652,1424.478,668.923,709.52,1378.443,3710.142,3477.457,7187.599,859.745,768.328,1628.073
29,9,260.597,275.706,536.303,262.73,279.867,542.597,267.833,284.091,551.924,268.89,282.236,551.126,262.646,270.739,533.385,1456.753,1326.928,2783.681,337.57,293.178,630.748
29,10,3293.938,3352.584,6646.522,3320.896,3403.181,6724.077,3385.394,3454.54,6839.934,3398.762,3431.992,6830.754,3319.838,3292.183,6612.021,18413.28,16135.439,34548.719,4266.875,3565.047,7831.922
29,11,202.923,224.75,427.673,204.584,228.141,432.725,208.557,231.584,440.141,209.381,230.073,439.454,204.519,220.7,425.219,1134.351,1081.684,2216.035,262.861,238.993,501.854
29,12,401.888,428.599,830.487,405.178,435.068,840.246,413.047,441.634,854.681,414.678,438.751,853.429,405.049,420.878,825.927,2246.577,2062.781,4309.358,520.595,455.761,976.356
29,13,4302.808,4501.924,8804.732,4338.023,4569.866,8907.889,4422.276,4638.833,9061.109,4439.738,4608.555,9048.293,4336.64,4420.816,8757.456,24052.916,21667.025,45719.941,5573.737,4787.225,10360.962
29,14,680.37,729.215,1409.585,685.938,740.22,1426.158,699.261,751.391,1450.652,702.022,746.487,1448.509,685.72,716.077,1401.797,3803.304,3509.591,7312.895,881.333,775.427,1656.76
29,15,1767.741,1827.693,3595.434,1782.209,1855.276,3637.485,1816.823,1883.276,3700.099,1823.997,1870.983,3694.98,1781.641,1794.765,3576.406,9881.764,8796.388,18678.152,2289.882,1943.52,4233.402
29,16,335.883,342.679,678.562,338.632,347.851,686.483,345.209,353.1,698.309,346.572,350.795,697.367,338.524,336.505,675.029,1877.604,1649.258,3526.862,435.093,364.396,799.489
29,17,503.477,527.605,1031.082,507.597,535.568,1043.165,517.455,543.65,1061.105,519.498,540.102,1059.6,507.435,518.1,1025.535,2814.457,2539.278,5353.735,652.188,561.042,1213.23
29,18,1749.136,1856.035,3605.171,1763.452,1884.046,3647.498,1797.702,1912.479,3710.181,1804.8,1899.996,3704.796,1762.89,1822.596,3585.486,9777.762,8932.793,18710.555,2265.783,1973.658,4239.441
29,19,982.999,1010.135,1993.134,991.043,1025.381,2016.424,1010.291,1040.855,2051.146,1014.281,1034.062,2048.343,990.728,991.937,1982.665,5495.01,4861.619,10356.629,1273.348,1074.151,2347.499
29,20,432.544,456.153,888.697,436.084,463.037,899.121,444.554,470.025,914.579,446.309,466.957,913.266,435.945,447.934,883.879,2417.943,2195.387,4613.33,560.305,485.06,1045.365
29,21,804.77,863.185,1667.955,811.357,876.213,1687.57,827.115,889.436,1716.551,830.381,883.631,1714.012,811.098,847.634,1658.732,4498.709,4154.372,8653.081,1042.477,917.888,1960.365
29,22,285.419,313.188,598.607,287.755,317.914,605.669,293.344,322.712,616.056,294.502,320.605,615.107,287.663,307.545,595.208,1595.506,1507.319,3102.825,369.723,333.035,702.758
29,23,1189.652,1238.706,2428.358,1199.388,1257.4,2456.788,1222.683,1276.377,2499.06,1227.511,1268.045,2495.556,1199.006,1216.389,2415.395,6650.215,5961.689,12611.904,1541.042,1317.207,2858.249
29,24,1279.311,1313.443,2592.754,1289.78,1333.265,2623.045,1314.831,1353.387,2668.218,1320.022,1344.553,2664.575,1289.369,1289.78,2579.149,7151.41,6321.388,13472.798,1657.183,1396.68,3053.863
