Anio,CVE_ENT,CVE_MUN,Pob_PInf_F,Pob_PInf_M,Pob_PInf_T,Pob_Inf_F,Pob_Inf_M,Pob_Inf_T,Pob_Pub_F,Pob_Pub_M,Pob_Pub_T,Pob_Ado_F,Pob_Ado_M,Pob_Ado_T,Pob_Juv_F,Pob_Juv_M,Pob_Juv_T,Pob_Adu_F,Pob_Adu_M,Pob_Adu_T,Pob_Vej_F,Pob_Vej_M,Pob_Vej_T,Poblacion
2003,21,106,1531.725,1580.33,3112.055,1505.952,1549.067,3055.019,1472.192,1490.864,2963.056,1378.918,1337.811,2716.729,1234.803,1104.715,2339.518,5128.784,4533.2,9661.984,1105.377,899.231,2004.608,25852.969
2003,21,114,83464.52,86112.952,169577.472,82060.099,84409.435,166469.534,80220.509,81237.909,161458.418,75137.956,72897.999,148035.955,67285.027,60196.455,127481.482,279470.071,247016.352,526486.423,60232.568,48999.555,109232.123,1408741.407
2003,21,119,6033.673,6225.129,12258.802,5932.147,6101.981,12034.128,5799.163,5872.711,11671.874,5431.744,5269.817,10701.561,4864.053,4351.618,9215.671,20202.968,17856.881,38059.849,4354.229,3542.192,7896.421,101838.306
2003,21,122,525.405,542.078,1067.483,516.565,531.354,1047.919,504.985,511.389,1016.374,472.99,458.89,931.88,423.556,378.934,802.49,1759.253,1554.958,3314.211,379.162,308.45,687.612,8867.969
2003,21,125,471.31,486.266,957.576,463.379,476.646,940.025,452.991,458.737,911.728,424.291,411.643,835.934,379.947,339.919,719.866,1578.12,1394.86,2972.98,340.123,276.692,616.815,7954.924
2003,21,132,7844.298,8093.207,15937.505,7712.306,7933.105,15645.411,7539.415,7635.034,15174.449,7061.738,6851.219,13912.957,6323.691,5657.481,11981.172,26265.611,23215.494,49481.105,5660.875,4605.156,10266.031,132398.63
2003,21,134,1096.093,1130.875,2226.968,1077.65,1108.503,2186.153,1053.492,1066.853,2120.345,986.746,957.33,1944.076,883.617,790.527,1674.144,3670.127,3243.931,6914.058,791.002,643.485,1434.487,18500.231
2003,21,136,641.643,662.004,1303.647,630.847,648.908,1279.755,616.705,624.526,1241.231,577.632,560.412,1138.044,517.262,462.767,980.029,2148.459,1898.968,4047.427,463.046,376.69,839.736,10829.869
2003,21,140,6615.853,6825.782,13441.635,6504.531,6690.752,13195.283,6358.715,6439.359,12798.074,5955.844,5778.293,11734.137,5333.378,4771.499,10104.877,22152.321,19579.862,41732.183,4774.362,3883.971,8658.333,111664.522
2003,21,143,1661.284,1713.998,3375.282,1633.33,1680.091,3313.421,1596.715,1616.965,3213.68,1495.551,1450.967,2946.518,1339.246,1198.155,2537.401,5562.592,4916.631,10479.223,1198.873,975.291,2174.164,28039.689
2003,21,180,2021.17,2085.306,4106.476,1987.161,2044.053,4031.214,1942.614,1967.252,3909.866,1819.535,1765.293,3584.828,1629.369,1457.713,3087.082,6767.627,5981.73,12749.357,1458.587,1186.57,2645.157,34113.98
